,date,team,opponent,game_time,attendance,night_game,home
92,"Sunday, Jul 16 (2) 2017",NYY,BOS,2:59,"36,719",1,0
93,"Monday, Jul 17 2017",NYY,MIN,3:02,"27,566",1,0
94,"Tuesday, Jul 18 2017",NYY,MIN,3:28,"33,114",1,0
95,"Wednesday, Jul 19 2017",NYY,MIN,2:58,"33,380",0,0
96,"Thursday, Jul 20 2017",NYY,SEA,3:14,"35,175",1,0
97,"Friday, Jul 21 2017",NYY,SEA,2:50,"34,073",1,0
98,"Saturday, Jul 22 2017",NYY,SEA,3:28,"46,197",1,0
99,"Sunday, Jul 23 2017",NYY,SEA,3:13,"38,503",0,0
100,"Tuesday, Jul 25 2017",NYY,CIN,2:38,"44,268",1,1
101,"Wednesday, Jul 26 2017",NYY,CIN,2:52,"42,421",0,1
102,"Thursday, Jul 27 2017",NYY,TBR,3:56,"44,033",1,1
103,"Friday, Jul 28 2017",NYY,TBR,2:23,"40,470",1,1
104,"Saturday, Jul 29 2017",NYY,TBR,3:22,"43,015",0,1
105,"Sunday, Jul 30 2017",NYY,TBR,3:51,"41,547",0,1
106,"Monday, Jul 31 2017",NYY,DET,3:23,"39,904",1,1
108,"Tuesday, Aug 1 2017",NYY,DET,2:59,"43,238",1,1
109,"Wednesday, Aug 2 2017",NYY,DET,2:52,"43,379",0,1
110,"Thursday, Aug 3 2017",NYY,CLE,2:28,"28,124",1,0
111,"Friday, Aug 4 2017",NYY,CLE,2:58,"34,466",1,0
112,"Saturday, Aug 5 2017",NYY,CLE,2:58,"34,651",1,0
113,"Sunday, Aug 6 2017",NYY,CLE,2:56,"33,044",0,0
114,"Tuesday, Aug 8 2017",NYY,TOR,2:50,"41,596",1,0
115,"Wednesday, Aug 9 2017",NYY,TOR,3:44,"39,554",1,0
116,"Thursday, Aug 10 2017",NYY,TOR,2:55,"43,212",1,0
117,"Friday, Aug 11 2017",NYY,BOS,3:40,"46,509",1,1
118,"Saturday, Aug 12 2017",NYY,BOS,3:13,"47,241",0,1
119,"Sunday, Aug 13 2017",NYY,BOS,3:40,"46,610",1,1
120,"Monday, Aug 14 2017",NYY,NYM,3:03,"45,619",1,1
121,"Tuesday, Aug 15 2017",NYY,NYM,3:07,"46,474",1,1
122,"Wednesday, Aug 16 2017",NYY,NYM,3:13,"42,260",1,0
123,"Thursday, Aug 17 2017",NYY,NYM,2:55,"42,549",1,0
124,"Friday, Aug 18 2017",NYY,BOS,4:09,"36,784",1,0
125,"Saturday, Aug 19 2017",NYY,BOS,3:09,"37,274",1,0
126,"Sunday, Aug 20 2017",NYY,BOS,3:36,"36,911",0,0
127,"Tuesday, Aug 22 2017",NYY,DET,3:14,"27,818",1,0
128,"Wednesday, Aug 23 2017",NYY,DET,2:55,"29,695",1,0
129,"Thursday, Aug 24 2017",NYY,DET,4:13,"32,622",0,0
130,"Friday, Aug 25 2017",NYY,SEA,3:51,"42,057",1,1
131,"Saturday, Aug 26 2017",NYY,SEA,3:25,"39,810",0,1
132,"Sunday, Aug 27 2017",NYY,SEA,2:57,"40,112",0,1
133,"Monday, Aug 28 2017",NYY,CLE,2:42,"36,253",1,1
134,"Wednesday, Aug 30 (1) 2017",NYY,CLE,3:12,,0,1
135,"Wednesday, Aug 30 (2) 2017",NYY,CLE,3:04,"39,598",1,1
136,"Thursday, Aug 31 2017",NYY,BOS,3:44,"43,309",1,1
138,"Friday, Sep 1 2017",NYY,BOS,2:44,"42,332",1,1
139,"Saturday, Sep 2 2017",NYY,BOS,2:58,"46,536",0,1
140,"Sunday, Sep 3 2017",NYY,BOS,3:46,"46,717",1,1
141,"Monday, Sep 4 2017",NYY,BAL,3:25,"37,622",0,0
142,"Tuesday, Sep 5 2017",NYY,BAL,3:34,"14,377",1,0
143,"Thursday, Sep 7 2017",NYY,BAL,3:19,"14,946",0,0
144,"Friday, Sep 8 2017",NYY,TEX,3:23,"35,883",1,0
145,"Saturday, Sep 9 2017",NYY,TEX,2:57,"38,135",0,0
146,"Sunday, Sep 10 2017",NYY,TEX,3:43,"31,349",0,0
147,"Monday, Sep 11 2017",NYY,TBR,3:28,"15,327",1,0
148,"Tuesday, Sep 12 2017",NYY,TBR,2:36,"21,024",1,0
149,"Wednesday, Sep 13 2017",NYY,TBR,3:40,"13,159",0,0
150,"Thursday, Sep 14 2017",NYY,BAL,3:14,"37,128",1,1
151,"Friday, Sep 15 2017",NYY,BAL,2:38,"40,460",1,1
152,"Saturday, Sep 16 2017",NYY,BAL,3:37,"40,114",0,1
153,"Sunday, Sep 17 2017",NYY,BAL,3:15,"38,189",0,1
154,"Monday, Sep 18 2017",NYY,MIN,3:16,"30,425",1,1
155,"Tuesday, Sep 19 2017",NYY,MIN,3:30,"30,218",1,1
156,"Wednesday, Sep 20 2017",NYY,MIN,3:20,"30,099",0,1
157,"Friday, Sep 22 2017",NYY,TOR,2:32,"42,153",1,0
158,"Saturday, Sep 23 2017",NYY,TOR,2:54,"46,949",0,0
159,"Sunday, Sep 24 2017",NYY,TOR,3:17,"47,394",0,0
160,"Monday, Sep 25 2017",NYY,KCR,2:51,"40,023",0,1
161,"Tuesday, Sep 26 2017",NYY,TBR,3:11,"30,434",1,1
162,"Wednesday, Sep 27 2017",NYY,TBR,3:19,"30,549",1,1
163,"Thursday, Sep 28 2017",NYY,TBR,3:29,"32,933",1,1
164,"Friday, Sep 29 2017",NYY,TOR,2:51,"35,735",0,1
165,"Saturday, Sep 30 2017",NYY,TOR,2:57,"39,457",0,1
167,"Sunday, Oct 1 2017",NYY,TOR,2:28,"37,428",0,1
0,"Monday, Apr 3 2017",CIN,PHI,3:04,"43,804",0,1
1,"Wednesday, Apr 5 2017",CIN,PHI,2:25,"19,944",1,1
2,"Thursday, Apr 6 2017",CIN,PHI,3:05,"10,586",0,1
3,"Friday, Apr 7 2017",CIN,STL,2:17,"44,653",1,0
4,"Saturday, Apr 8 2017",CIN,STL,2:47,"46,558",0,0
5,"Sunday, Apr 9 2017",CIN,STL,2:44,"45,200",0,0
6,"Monday, Apr 10 2017",CIN,PIT,3:05,"28,264",1,0
7,"Tuesday, Apr 11 2017",CIN,PIT,3:04,"11,027",1,0
8,"Wednesday, Apr 12 2017",CIN,PIT,2:54,"12,327",1,0
9,"Thursday, Apr 13 2017",CIN,MIL,2:25,"13,574",1,1
10,"Friday, Apr 14 2017",CIN,MIL,3:21,"23,850",1,1
11,"Saturday, Apr 15 2017",CIN,MIL,3:10,"31,008",0,1
12,"Sunday, Apr 16 2017",CIN,MIL,2:56,"12,625",0,1
13,"Tuesday, Apr 18 2017",CIN,BAL,3:05,"16,018",1,1
14,"Wednesday, Apr 19 2017",CIN,BAL,2:28,"15,083",1,1
15,"Thursday, Apr 20 2017",CIN,BAL,2:37,"11,910",1,1
16,"Friday, Apr 21 2017",CIN,CHC,3:57,"29,350",1,1
17,"Saturday, Apr 22 2017",CIN,CHC,3:24,"27,189",0,1
18,"Sunday, Apr 23 2017",CIN,CHC,2:26,"32,670",0,1
19,"Monday, Apr 24 2017",CIN,MIL,3:24,"23,943",1,0
20,"Tuesday, Apr 25 2017",CIN,MIL,2:59,"28,449",1,0
21,"Wednesday, Apr 26 2017",CIN,MIL,2:53,"19,062",0,0
22,"Friday, Apr 28 2017",CIN,STL,3:08,"42,722",1,0
23,"Sunday, Apr 30 2017",CIN,STL,3:20,"45,682",0,0
25,"Monday, May 1 2017",CIN,PIT,3:13,"14,753",1,1
26,"Tuesday, May 2 2017",CIN,PIT,3:00,"13,909",1,1
27,"Wednesday, May 3 2017",CIN,PIT,2:48,"14,297",1,1
28,"Thursday, May 4 2017",CIN,PIT,2:40,"17,896",0,1
29,"Friday, May 5 2017",CIN,SFG,3:15,"22,724",1,1
30,"Saturday, May 6 2017",CIN,SFG,2:46,"20,213",1,1
31,"Sunday, May 7 2017",CIN,SFG,2:28,"21,142",0,1
32,"Monday, May 8 2017",CIN,NYY,3:28,"25,960",1,1
33,"Tuesday, May 9 2017",CIN,NYY,2:49,"22,035",1,1
34,"Thursday, May 11 2017",CIN,SFG,2:36,"41,193",1,0
35,"Friday, May 12 2017",CIN,SFG,5:28,"41,325",1,0
36,"Saturday, May 13 2017",CIN,SFG,2:33,"41,269",0,0
37,"Sunday, May 14 2017",CIN,SFG,2:55,"42,122",0,0
38,"Tuesday, May 16 2017",CIN,CHC,3:07,"40,653",1,0
39,"Wednesday, May 17 2017",CIN,CHC,3:06,"38,715",1,0
40,"Thursday, May 18 2017",CIN,CHC,3:03,"36,023",0,0
41,"Friday, May 19 2017",CIN,COL,3:38,"23,184",1,1
42,"Saturday, May 20 2017",CIN,COL,3:32,"25,188",0,1
43,"Sunday, May 21 2017",CIN,COL,3:14,"23,352",0,1
44,"Monday, May 22 2017",CIN,CLE,2:39,"26,794",1,1
45,"Tuesday, May 23 2017",CIN,CLE,3:16,"26,334",1,1
